,Quarter,tattoo_style,count
0,2010Q2,illustrative,1
1,2010Q4,abstract,1
2,2010Q4,illustrative,2
3,2010Q4,japanese,1
4,2010Q4,realism,1
5,2010Q4,traditional,3
6,2014Q2,blackwork,1
7,2015Q1,abstract,1
8,2015Q1,blackwork,8
9,2015Q1,calligraphy,3
10,2015Q1,geometric,15
11,2015Q1,illustrative,45
12,2015Q1,japanese,1
13,2015Q1,realism,16
14,2015Q1,traditional,12
15,2015Q1,watercolor,3
16,2015Q2,abstract,5
17,2015Q2,anime,1
18,2015Q2,blackwork,34
19,2015Q2,calligraphy,4
20,2015Q2,celtic,1
21,2015Q2,cybersigilism,11
22,2015Q2,geometric,57
23,2015Q2,illustrative,226
24,2015Q2,"illustrative, japanese",1
25,2015Q2,japanese,18
26,2015Q2,minimalist,3
27,2015Q2,patchwork,1
28,2015Q2,pointillism,2
29,2015Q2,realism,116
30,2015Q2,traditional,82
31,2015Q2,tribal,9
32,2015Q2,watercolor,11
33,2015Q3,abstract,13
34,2015Q3,anime,1
35,2015Q3,blackwork,30
36,2015Q3,calligraphy,11
37,2015Q3,celtic,1
38,2015Q3,cybersigilism,15
39,2015Q3,geometric,74
40,2015Q3,illustrative,259
41,2015Q3,japanese,17
42,2015Q3,minimalist,5
43,2015Q3,pointillism,11
44,2015Q3,realism,119
45,2015Q3,traditional,92
46,2015Q3,trash polka,1
47,2015Q3,tribal,11
48,2015Q3,watercolor,10
49,2015Q4,abstract,5
50,2015Q4,anime,1
51,2015Q4,blackwork,26
52,2015Q4,calligraphy,3
53,2015Q4,cybersigilism,7
54,2015Q4,fine line,1
55,2015Q4,geometric,48
56,2015Q4,illustrative,214
57,2015Q4,japanese,13
58,2015Q4,minimalist,6
59,2015Q4,patchwork,1
60,2015Q4,pointillism,1
61,2015Q4,realism,106
62,2015Q4,symbolic,2
63,2015Q4,traditional,79
64,2015Q4,tribal,4
65,2015Q4,typography,1
66,2015Q4,watercolor,12
67,2016Q1,abstract,8
68,2016Q1,anime,3
69,2016Q1,blackwork,24
70,2016Q1,cybersigilism,8
71,2016Q1,geometric,40
72,2016Q1,illustrative,188
73,2016Q1,japanese,18
74,2016Q1,mandala,1
75,2016Q1,minimalist,4
76,2016Q1,pointillism,10
77,2016Q1,realism,88
78,2016Q1,traditional,80
79,2016Q1,tribal,4
80,2016Q1,typography,1
81,2016Q1,watercolor,13
82,2016Q2,abstract,12
83,2016Q2,anime,4
84,2016Q2,blackwork,34
85,2016Q2,calligraphy,5
86,2016Q2,cybersigilism,6
87,2016Q2,geometric,52
88,2016Q2,illustrative,198
89,2016Q2,japanese,13
90,2016Q2,minimalist,6
91,2016Q2,patchwork,2
92,2016Q2,pixel art,1
93,2016Q2,pointillism,6
94,2016Q2,realism,105
95,2016Q2,symbolic,1
96,2016Q2,traditional,73
97,2016Q2,trash polka,3
98,2016Q2,tribal,6
99,2016Q2,watercolor,11
100,2016Q3,abstract,5
101,2016Q3,blackwork,26
102,2016Q3,calligraphy,5
103,2016Q3,cybersigilism,7
104,2016Q3,geometric,57
105,2016Q3,graffiti,1
106,2016Q3,illustrative,200
107,2016Q3,japanese,11
108,2016Q3,minimalist,3
109,2016Q3,pointillism,10
110,2016Q3,realism,116
111,2016Q3,traditional,75
112,2016Q3,tribal,4
113,2016Q3,watercolor,13
114,2016Q4,abstract,9
115,2016Q4,anime,4
116,2016Q4,blackwork,30
117,2016Q4,calligraphy,4
118,2016Q4,cybersigilism,7
119,2016Q4,geometric,47
120,2016Q4,illustrative,219
121,2016Q4,japanese,21
122,2016Q4,minimalist,7
123,2016Q4,patchwork,1
124,2016Q4,pointillism,14
125,2016Q4,portrait,1
126,2016Q4,realism,108
127,2016Q4,traditional,68
128,2016Q4,tribal,6
129,2016Q4,typography,1
130,2016Q4,watercolor,14
131,2017Q1,abstract,14
132,2017Q1,anime,8
133,2017Q1,blackwork,35
134,2017Q1,calligraphy,6
135,2017Q1,cybersigilism,7
136,2017Q1,fine line,2
137,2017Q1,geometric,56
138,2017Q1,graffiti,1
139,2017Q1,illustrative,250
140,2017Q1,japanese,16
141,2017Q1,minimalist,6
142,2017Q1,pointillism,15
143,2017Q1,realism,114
144,2017Q1,traditional,82
145,2017Q1,tribal,7
146,2017Q1,watercolor,17
147,2017Q2,abstract,9
148,2017Q2,anime,3
149,2017Q2,blackwork,32
150,2017Q2,calligraphy,2
151,2017Q2,cybersigilism,13
152,2017Q2,fine line,2
153,2017Q2,geometric,48
154,2017Q2,"geometric, watercolor",1
155,2017Q2,illustrative,220
156,2017Q2,japanese,15
157,2017Q2,minimalist,9
158,2017Q2,pointillism,9
159,2017Q2,realism,120
160,2017Q2,symbolic,2
161,2017Q2,traditional,82
162,2017Q2,trash polka,1
163,2017Q2,tribal,9
164,2017Q2,typography,1
165,2017Q2,watercolor,7
166,2017Q3,abstract,17
167,2017Q3,anime,3
168,2017Q3,blackwork,48
169,2017Q3,calligraphy,8
170,2017Q3,cybersigilism,7
171,2017Q3,fine line,2
172,2017Q3,geometric,73
173,2017Q3,illustrative,269
174,2017Q3,japanese,18
175,2017Q3,mandala,4
176,2017Q3,minimalist,7
177,2017Q3,patchwork,2
178,2017Q3,pointillism,16
179,2017Q3,realism,141
180,2017Q3,symbolic,1
181,2017Q3,traditional,97
182,2017Q3,trash polka,2
183,2017Q3,tribal,9
184,2017Q3,watercolor,17
185,2017Q4,abstract,6
186,2017Q4,anime,3
187,2017Q4,blackwork,38
188,2017Q4,calligraphy,7
189,2017Q4,cybersigilism,6
190,2017Q4,fine line,5
191,2017Q4,geometric,55
192,2017Q4,illustrative,271
193,2017Q4,japanese,20
194,2017Q4,minimalist,11
195,2017Q4,pointillism,15
196,2017Q4,realism,123
197,2017Q4,symbolic,1
198,2017Q4,traditional,66
199,2017Q4,trash polka,1
200,2017Q4,tribal,9
201,2017Q4,watercolor,16
202,2018Q1,abstract,10
203,2018Q1,anime,8
204,2018Q1,blackwork,69
205,2018Q1,calligraphy,11
206,2018Q1,cybersigilism,14
207,2018Q1,fine line,4
208,2018Q1,geometric,78
209,2018Q1,"geometric, watercolor",1
210,2018Q1,illustrative,294
211,2018Q1,japanese,33
212,2018Q1,mandala,1
213,2018Q1,minimalist,14
214,2018Q1,patchwork,1
215,2018Q1,pet,1
216,2018Q1,pointillism,14
217,2018Q1,realism,159
218,2018Q1,sketch,1
219,2018Q1,traditional,108
220,2018Q1,trash polka,2
221,2018Q1,tribal,7
222,2018Q1,typography,1
223,2018Q1,watercolor,17
224,2018Q2,abstract,9
225,2018Q2,anime,11
226,2018Q2,blackwork,74
227,2018Q2,calligraphy,9
228,2018Q2,celtic,2
229,2018Q2,cybersigilism,4
230,2018Q2,fine line,3
231,2018Q2,geometric,65
232,2018Q2,graffiti,1
233,2018Q2,illustrative,359
234,2018Q2,japanese,25
235,2018Q2,mandala,1
236,2018Q2,minimalist,17
237,2018Q2,patchwork,2
238,2018Q2,pointillism,18
239,2018Q2,realism,173
240,2018Q2,symbolic,1
241,2018Q2,traditional,146
242,2018Q2,trash polka,2
243,2018Q2,tribal,11
244,2018Q2,typography,1
245,2018Q2,watercolor,22
246,2018Q3,abstract,15
247,2018Q3,anime,6
248,2018Q3,blackwork,78
249,2018Q3,calligraphy,4
250,2018Q3,cybersigilism,17
251,2018Q3,fine line,1
252,2018Q3,geometric,97
253,2018Q3,illustrative,442
254,2018Q3,japanese,32
255,2018Q3,mandala,2
256,2018Q3,minimalist,16
257,2018Q3,other,1
258,2018Q3,patchwork,2
259,2018Q3,pointillism,16
260,2018Q3,realism,237
261,2018Q3,traditional,140
262,2018Q3,trash polka,5
263,2018Q3,tribal,10
264,2018Q3,watercolor,25
265,2018Q4,abstract,9
266,2018Q4,anime,13
267,2018Q4,blackwork,61
268,2018Q4,calligraphy,3
269,2018Q4,cybersigilism,8
270,2018Q4,fine line,3
271,2018Q4,geometric,69
272,2018Q4,"geometric, illustrative",1
273,2018Q4,illustrative,328
274,2018Q4,"illustrative, realism",1
275,2018Q4,japanese,41
276,2018Q4,minimalist,5
277,2018Q4,pointillism,10
278,2018Q4,realism,170
279,2018Q4,sketch,1
280,2018Q4,symbolic,3
281,2018Q4,traditional,95
282,2018Q4,trash polka,3
283,2018Q4,tribal,9
284,2018Q4,watercolor,11
285,2019Q1,abstract,11
286,2019Q1,anime,9
287,2019Q1,blackwork,85
288,2019Q1,calligraphy,4
289,2019Q1,cybersigilism,14
290,2019Q1,fine line,2
291,2019Q1,geometric,88
292,2019Q1,"geometric, illustrative",1
293,2019Q1,"geometric, watercolor",1
294,2019Q1,illustrative,448
295,2019Q1,japanese,37
296,2019Q1,mandala,1
297,2019Q1,minimalist,23
298,2019Q1,other,1
299,2019Q1,patchwork,2
300,2019Q1,pointillism,13
301,2019Q1,realism,230
302,2019Q1,symbolic,2
303,2019Q1,traditional,113
304,2019Q1,trash polka,3
305,2019Q1,tribal,9
306,2019Q1,watercolor,15
307,2019Q2,abstract,23
308,2019Q2,aesthetic,1
309,2019Q2,anime,16
310,2019Q2,blackwork,91
311,2019Q2,calligraphy,12
312,2019Q2,celtic,1
313,2019Q2,cybersigilism,20
314,2019Q2,fine line,4
315,2019Q2,geometric,86
316,2019Q2,"geometric, illustrative",1
317,2019Q2,illustrative,462
318,2019Q2,japanese,53
319,2019Q2,mandala,1
320,2019Q2,minimalist,23
321,2019Q2,patchwork,3
322,2019Q2,pointillism,26
323,2019Q2,realism,253
324,2019Q2,sketch,1
325,2019Q2,symbolic,2
326,2019Q2,traditional,157
327,2019Q2,trash polka,5
328,2019Q2,tribal,10
329,2019Q2,watercolor,16
330,2019Q3,"3d, realism",1
331,2019Q3,abstract,20
332,2019Q3,anime,14
333,2019Q3,blackwork,119
334,2019Q3,calligraphy,9
335,2019Q3,celtic,1
336,2019Q3,cybersigilism,11
337,2019Q3,fine line,7
338,2019Q3,geometric,107
339,2019Q3,illustrative,545
340,2019Q3,japanese,59
341,2019Q3,mandala,1
342,2019Q3,minimalist,22
343,2019Q3,patchwork,7
344,2019Q3,pixel art,1
345,2019Q3,pointillism,21
346,2019Q3,realism,294
347,2019Q3,symbolic,2
348,2019Q3,traditional,161
349,2019Q3,trash polka,2
350,2019Q3,tribal,16
351,2019Q3,typography,1
352,2019Q3,watercolor,18
353,2019Q4,abstract,18
354,2019Q4,aesthetic,1
355,2019Q4,anime,9
356,2019Q4,blackwork,91
357,2019Q4,calligraphy,7
358,2019Q4,cybersigilism,17
